City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Mastic Beach,US,40.7668,-72.8521,60.24,57,0,11.5,clear sky
225,Pisco,PE,-13.7,-76.2167,75.02,72,53,8.3,broken clouds
226,Launceston,AU,-41.45,147.1667,55.8,83,75,4.61,broken clouds
227,Novobelokatay,RU,55.7062,58.9549,12.85,98,99,3.87,overcast clouds
228,Ola,RU,59.5833,151.2833,-11.02,82,81,6.89,broken clouds
229,Lahaina,US,20.8783,-156.6825,75.81,79,2,7.0,clear sky
230,Celestun,MX,20.8667,-90.4,81.48,66,38,5.46,scattered clouds
231,Andros Town,BS,24.7,-77.7667,78.8,70,10,11.18,light rain
232,Tchollire,CM,8.4022,14.1698,78.98,13,98,1.19,overcast clouds
233,Turkistan,KZ,43.0,68.0,32.2,70,100,4.94,overcast clouds
234,Solnechnyy,RU,50.7214,136.6319,10.09,93,100,7.14,light snow
235,Songea,TZ,-10.6833,35.65,64.08,98,100,2.35,light rain
236,Port Elizabeth,ZA,-33.918,25.5701,73.69,94,75,12.66,broken clouds
237,Haftoni,AZ,38.7632,48.7622,46.85,85,0,4.54,clear sky
238,Sinnar,SD,13.5691,33.5672,80.71,27,0,10.92,clear sky
239,Kyzyl-Suu,KG,42.3414,78.0056,24.78,83,100,6.02,overcast clouds
240,Port Alfred,ZA,-33.5906,26.891,75.87,91,1,13.15,clear sky
241,Esik,KZ,43.3552,77.4525,22.42,86,95,2.84,overcast clouds
242,Anzio,IT,41.4853,12.6179,56.88,71,19,5.64,few clouds
243,Dikson,RU,73.5069,80.5464,-2.11,77,100,27.42,overcast clouds
244,Lakatoro,VU,-16.0999,167.4164,78.75,86,100,1.77,overcast clouds
245,Richards Bay,ZA,-28.783,32.0377,74.16,86,0,8.72,clear sky
246,Shenzhen,CN,22.5455,114.0683,65.14,96,100,3.96,light rain
247,Tezu,IN,27.9167,96.1667,52.81,65,1,4.29,clear sky
248,Flinders,AU,-34.5833,150.8552,64.2,93,85,4.0,overcast clouds
249,Punta Alta,AR,-38.8759,-62.0736,74.68,23,23,0.2,few clouds
250,Saint-Philippe,RE,-21.3585,55.7679,78.35,85,19,10.4,few clouds
251,Necochea,AR,-38.5473,-58.7368,69.04,46,3,11.16,clear sky
252,Police,PL,53.5521,14.5718,36.54,82,55,1.01,broken clouds
253,Marawi,PH,7.9986,124.2928,64.65,90,100,2.84,overcast clouds
254,Cherskiy,RU,68.75,161.3,-21.23,98,100,10.2,overcast clouds
255,Gharo,PK,24.7424,67.5856,66.42,53,0,9.91,clear sky
256,Westport,US,41.1415,-73.3579,60.03,47,0,13.8,clear sky
257,Mahajanga,MG,-15.7167,46.3167,80.87,77,10,8.03,clear sky
258,Saint-Augustin,CA,51.226,-58.6502,33.24,98,100,19.8,snow
259,Codrington,AU,-38.2667,141.9667,67.78,52,100,10.51,overcast clouds
260,Talnakh,RU,69.4865,88.3972,-8.34,79,12,9.62,few clouds
261,Raudeberg,NO,61.9875,5.1352,41.67,92,100,7.0,light rain
262,Venice,US,27.0998,-82.4543,85.26,46,0,5.75,haze
263,Namioka,JP,40.7072,140.5894,32.92,84,100,5.26,overcast clouds
264,Champerico,GT,14.3,-91.9167,95.76,56,0,10.09,clear sky
265,Mareeba,AU,-17.0,145.4333,70.52,95,59,2.48,broken clouds
266,Puerto Carreno,CO,6.189,-67.4859,97.32,30,97,8.01,overcast clouds
267,Honningsvag,NO,70.9821,25.9704,30.04,61,100,22.75,light snow
268,Svetlaya,RU,46.5389,138.3297,23.86,91,100,12.8,snow
269,Nishihara,JP,26.1842,127.7558,69.08,78,99,18.41,overcast clouds
270,Doka,SD,13.5167,35.7667,82.74,29,0,13.8,clear sky
271,Xiongzhou,CN,25.1167,114.3,48.94,93,100,4.36,overcast clouds
272,Sioux Lookout,CA,50.1001,-91.917,-9.02,77,100,4.05,overcast clouds
273,Dolinsk,RU,47.35,142.8,17.1,96,100,3.51,overcast clouds
274,Vilhena,BR,-12.7406,-60.1458,76.15,90,100,3.8,light rain
275,Phan Thiet,VN,10.9333,108.1,76.41,77,94,8.03,overcast clouds
276,Galle,LK,6.0367,80.217,74.97,90,100,3.42,overcast clouds
277,Hue,VN,16.4667,107.6,73.51,88,40,2.3,scattered clouds
278,Nurota,UZ,40.5614,65.6886,30.29,81,5,4.32,clear sky
279,Gornyye Klyuchi,RU,45.25,133.5,-2.38,99,100,3.44,overcast clouds
280,Ongandjera,NA,-17.8833,15.0667,79.23,54,100,7.2,overcast clouds
281,Margate,GB,51.3813,1.3862,44.31,68,100,7.0,overcast clouds
282,Tuktoyaktuk,CA,69.4541,-133.0374,-30.75,98,20,4.79,few clouds
283,Praia,CV,14.9215,-23.5087,75.74,64,100,18.41,overcast clouds
284,Sakakah,SA,29.9697,40.2064,52.38,35,0,4.92,clear sky
285,Saint George,US,37.1041,-113.5841,64.87,20,0,3.44,clear sky
286,Kalmunai,LK,7.4167,81.8167,76.69,88,99,3.42,overcast clouds
287,Husavik,IS,66.0449,-17.3389,22.91,87,92,7.31,overcast clouds
288,Olinda,BR,-8.0089,-34.8553,85.73,70,20,8.05,few clouds
289,Sacele,RO,45.6174,25.6943,31.53,34,36,1.5,scattered clouds
290,Chuy,UY,-33.6971,-53.4616,72.25,87,100,9.19,overcast clouds
291,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,12.66,clear sky
292,Akyab,MM,20.15,92.9,63.34,56,100,12.26,overcast clouds
293,Zyryanovsk,KZ,49.7386,84.2719,6.53,96,100,0.6,light snow
294,Nevelsk,RU,46.6733,141.8633,19.06,87,49,10.78,scattered clouds
295,Lata,PT,40.1629,-8.3327,55.72,92,93,3.04,overcast clouds
296,Alexandria,EG,31.2156,29.9553,57.36,73,0,12.28,clear sky
297,Ukiah,US,39.1502,-123.2078,76.96,38,0,0.0,clear sky
298,Kulhudhuffushi,MV,6.6221,73.07,81.52,73,100,6.13,overcast clouds
299,Touros,BR,-5.1989,-35.4608,83.5,67,38,10.33,scattered clouds
300,Glencoe,ZA,-28.1783,30.147,67.3,52,5,5.61,clear sky
301,Balikpapan,ID,-1.2675,116.8289,75.43,86,100,1.32,overcast clouds
302,Kapit,MY,2.0167,112.9333,72.43,100,100,2.21,heavy intensity rain
303,Nemuro,JP,43.3236,145.575,21.81,80,59,3.27,broken clouds
304,Calbuco,CL,-41.768,-73.1273,59.85,74,98,13.62,overcast clouds
305,Katherine,AU,-14.4667,132.2667,77.32,88,0,5.75,clear sky
306,Palana,RU,59.1167,159.9667,-12.44,95,30,4.5,scattered clouds
307,Diu,IN,20.7141,70.9822,68.25,41,0,8.08,clear sky
308,Bengkulu,ID,-3.8004,102.2655,75.92,84,79,4.29,broken clouds
309,Lianzhou,CN,24.7811,112.3825,44.49,88,100,4.52,overcast clouds
310,Mehamn,NO,71.0357,27.8492,26.15,71,79,19.93,light snow
311,Aasiaat,GL,68.7098,-52.8699,14.74,78,100,46.39,overcast clouds
312,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.83,95,100,0.31,overcast clouds
313,Ibra,OM,22.6906,58.5334,64.58,55,0,4.45,clear sky
314,Faanui,PF,-16.4833,-151.75,80.69,74,100,15.35,overcast clouds
315,Upernavik,GL,72.7868,-56.1549,-3.98,98,100,15.19,overcast clouds
316,Kokopo,PG,-4.352,152.2633,76.15,88,100,6.17,overcast clouds
317,Ust-Ilimsk,RU,58.0006,102.6619,-22.68,100,78,1.57,broken clouds
318,Lorengau,PG,-2.0226,147.2712,80.58,76,100,3.51,overcast clouds
319,Inta,RU,66.0317,60.1659,6.66,95,100,10.33,light snow
320,Smithers,CA,54.7804,-127.1743,34.3,84,99,1.28,overcast clouds
321,Maltahohe,NA,-24.8333,16.9833,73.08,63,100,4.03,light rain
322,Port Macquarie,AU,-31.4333,152.9167,62.89,68,100,7.74,overcast clouds
323,Qiyang,CN,26.5911,111.8474,40.24,94,100,3.85,overcast clouds
324,Lompoc,US,34.6391,-120.4579,84.38,21,0,6.91,clear sky
